,,Visual Properties,,,,,Labels,,,Graph Metrics,Do Not Edit,,Other Columns,,,,,,,,,,,,
robacollins,mapesgeog,,,,,,,,,,,,,Mentions,4/30/2019 22:52,"Links to all the great map people here - @grssnbchr, @angelozehr, @MapesGeog, @margot_carto, @NatGeoMaps ??? go give… https://t.co/j9ICo5RIz5",https://twitter.com/i/web/status/1123359508061986818,twitter.com,,4/30/2019 22:52,https://twitter.com/#!/robacollins/status/1123359508061986818,,,1123359508061986818,1123289958012338177
robacollins,angelozehr,,,,,,,,,,,,,Mentions,4/30/2019 22:52,"Links to all the great map people here - @grssnbchr, @angelozehr, @MapesGeog, @margot_carto, @NatGeoMaps ??? go give… https://t.co/j9ICo5RIz5",https://twitter.com/i/web/status/1123359508061986818,twitter.com,,4/30/2019 22:52,https://twitter.com/#!/robacollins/status/1123359508061986818,,,1123359508061986818,1123289958012338177
robacollins,grssnbchr,,,,,,,,,,,,,Mentions,4/30/2019 22:52,"Links to all the great map people here - @grssnbchr, @angelozehr, @MapesGeog, @margot_carto, @NatGeoMaps ??? go give… https://t.co/j9ICo5RIz5",https://twitter.com/i/web/status/1123359508061986818,twitter.com,,4/30/2019 22:52,https://twitter.com/#!/robacollins/status/1123359508061986818,,,1123359508061986818,1123289958012338177
robacollins,natgeomaps,,,,,,,,,,,,,Mentions,4/30/2019 22:52,"Links to all the great map people here - @grssnbchr, @angelozehr, @MapesGeog, @margot_carto, @NatGeoMaps ??? go give… https://t.co/j9ICo5RIz5",https://twitter.com/i/web/status/1123359508061986818,twitter.com,,4/30/2019 22:52,https://twitter.com/#!/robacollins/status/1123359508061986818,,,1123359508061986818,1123289958012338177
cebenspe,cebenspe,,,,,,,,,,,,,Tweet,4/30/2019 23:32,The three Chiles https://t.co/qc6VfCmdPJ,https://twitter.com/NatGeoMaps/status/1123331303745761284,twitter.com,,4/30/2019 23:32,https://twitter.com/#!/cebenspe/status/1123369485761572864,,,1123369485761572864,
zapdynamic,zapdynamic,,,,,,,,,,,,,Tweet,4/30/2019 23:33,These gifs are so cool! https://t.co/aqqcyHFE4c,https://twitter.com/NatGeoMaps/status/1123369044353089537,twitter.com,,4/30/2019 23:33,https://twitter.com/#!/zapdynamic/status/1123369894362386432,,,1123369894362386432,
gis_bandit,natgeomaps,,,,,,,,,,,,,Mentions,4/30/2019 23:49,RT @NatGeoMaps: One of the snowiest places on Earth is losing its glaciers https://t.co/SOgHJeIxG2 https://t.co/C0X3dpzKxc,https://on.natgeo.com/2vA4JhX,natgeo.com,,4/30/2019 23:49,https://twitter.com/#!/gis_bandit/status/1123373942054408194,,,1123373942054408194,
ahsgeo,natgeomaps,,,,,,,,,,,,,Mentions,5/1/2019 0:05,"RT @NatGeoMaps: Map of the Day: Chile spans 2,650 miles (4,265 kilometers) north to south. This significant latitude change is reflected in…",,,,5/1/2019 0:05,https://twitter.com/#!/ahsgeo/status/1123377862248161280,,,1123377862248161280,
geodrewmi,natgeomaps,,,,,,,,,,,,,Mentions,5/1/2019 0:09,"RT @NatGeoMaps: Map of the Day: Chile spans 2,650 miles (4,265 kilometers) north to south. This significant latitude change is reflected in…",,,,5/1/2019 0:09,https://twitter.com/#!/geodrewmi/status/1123378973893955584,,,1123378973893955584,
new_3,natgeomaps,,,,,,,,,,,,,Mentions,5/1/2019 0:27,"RT @NatGeoMaps: Map of the Day: Chile spans 2,650 miles (4,265 kilometers) north to south. This significant latitude change is reflected in…",,,,5/1/2019 0:27,https://twitter.com/#!/new_3/status/1123383371000889344,,,1123383371000889344,
plete75,natgeomaps,,,,,,,,,,,,,Mentions,5/1/2019 0:32,"RT @NatGeoMaps: Map of the Day: Chile spans 2,650 miles (4,265 kilometers) north to south. This significant latitude change is reflected in…",,,,5/1/2019 0:32,https://twitter.com/#!/plete75/status/1123384762930884608,,,1123384762930884608,
bangscantfeel,natgeomaps,,,,,,,,,,,,,Mentions,5/1/2019 0:41,RT @NatGeoMaps: One of the snowiest places on Earth is losing its glaciers https://t.co/SOgHJeIxG2 https://t.co/C0X3dpzKxc,https://on.natgeo.com/2vA4JhX,natgeo.com,,5/1/2019 0:41,https://twitter.com/#!/bangscantfeel/status/1123386893154930689,,,1123386893154930689,
beni_raharjo,natgeomaps,,,,,,,,,,,,,Mentions,4/29/2019 0:27,RT @NatGeoMaps: Tokyo became a megacity by reinventing itself https://t.co/bXRKG6bqQe https://t.co/cZIN8uzsVw,https://on.natgeo.com/2vpNEr4,natgeo.com,,4/29/2019 0:27,https://twitter.com/#!/beni_raharjo/status/1122658639884341248,,,1122658639884341248,
beni_raharjo,natgeomaps,,,,,,,,,,,,,Mentions,5/1/2019 0:47,"RT @NatGeoMaps: Map of the Day: Chile spans 2,650 miles (4,265 kilometers) north to south. This significant latitude change is reflected in…",,,,5/1/2019 0:47,https://twitter.com/#!/beni_raharjo/status/1123388336565997569,,,1123388336565997569,
mustekeph,natgeomag,,,,,,,,,,,,,Mentions,5/1/2019 1:31,@jokowi oya pak ... untuk liat peta Pasific ocean Floor .. samudra pasific tanpa air majalah @NatGeoMag Oktober 196… https://t.co/upE0QPQhDe,https://twitter.com/i/web/status/1123399506261753856,twitter.com,,5/1/2019 1:31,https://twitter.com/#!/mustekeph/status/1123399506261753856,,,1123399506261753856,1123046479604490240
mustekeph,jokowi,,,,,,,,,,,,,Replies to,5/1/2019 1:31,@jokowi oya pak ... untuk liat peta Pasific ocean Floor .. samudra pasific tanpa air majalah @NatGeoMag Oktober 196… https://t.co/upE0QPQhDe,https://twitter.com/i/web/status/1123399506261753856,twitter.com,,5/1/2019 1:31,https://twitter.com/#!/mustekeph/status/1123399506261753856,,,1123399506261753856,1123046479604490240
jwhopewell,jwhopewell,,,,,,,,,,,,,Tweet,5/1/2019 1:53,Los tres Chiles https://t.co/yD1DS7jq1W,https://twitter.com/natgeomaps/status/1123331303745761284,twitter.com,,5/1/2019 1:53,https://twitter.com/#!/jwhopewell/status/1123404967295975425,,,1123404967295975425,
jjoonagata,natgeomaps,,,,,,,,,,,,,Mentions,5/1/2019 3:06,"RT @NatGeoMaps: Map of the Day: Chile spans 2,650 miles (4,265 kilometers) north to south. This significant latitude change is reflected in…",,,,5/1/2019 3:06,https://twitter.com/#!/jjoonagata/status/1123423531834990592,,,1123423531834990592,
ddktd,natgeomaps,,,,,,,,,,,,,Mentions,5/1/2019 4:02,"RT @NatGeoMaps: Map of the Day: Chile spans 2,650 miles (4,265 kilometers) north to south. This significant latitude change is reflected in…",,,,5/1/2019 4:02,https://twitter.com/#!/ddktd/status/1123437492626251776,,,1123437492626251776,
kimwah0210,natgeomaps,,,,,,,,,,,,,Mentions,5/1/2019 5:40,"RT @NatGeoMaps: Map of the Day: Chile spans 2,650 miles (4,265 kilometers) north to south. This significant latitude change is reflected in…",,,,5/1/2019 5:40,https://twitter.com/#!/kimwah0210/status/1123462152080244737,,,1123462152080244737,
geographical_,natgeomaps,,,,,,,,,,,,,Mentions,5/1/2019 12:03,RT @NatGeoMaps: One of the snowiest places on Earth is losing its glaciers https://t.co/SOgHJeIxG2 https://t.co/C0X3dpzKxc,https://on.natgeo.com/2vA4JhX,natgeo.com,,5/1/2019 12:03,https://twitter.com/#!/geographical_/status/1123558462326288384,,,1123558462326288384,
joseabnolla,lmawest,,,,,,,,,,,,,Mentions,5/1/2019 12:37,"Puerto Rico, Business, Legal Daily is out! https://t.co/UeCJbXzDtT Stories via @ContentPilot @LMAwest @NatGeoMaps",http://abogadospuertorico.net/?edition_id=ee621210-6c0d-11e9-bcf0-0cc47a0d1605,abogadospuertorico.net,,5/1/2019 12:37,https://twitter.com/#!/joseabnolla/status/1123567223430352896,,,1123567223430352896,
joseabnolla,contentpilot,,,,,,,,,,,,,Mentions,5/1/2019 12:37,"Puerto Rico, Business, Legal Daily is out! https://t.co/UeCJbXzDtT Stories via @ContentPilot @LMAwest @NatGeoMaps",http://abogadospuertorico.net/?edition_id=ee621210-6c0d-11e9-bcf0-0cc47a0d1605,abogadospuertorico.net,,5/1/2019 12:37,https://twitter.com/#!/joseabnolla/status/1123567223430352896,,,1123567223430352896,
joseabnolla,natgeomaps,,,,,,,,,,,,,Mentions,4/29/2019 12:37,"Puerto Rico, Business, Legal Daily is out! https://t.co/UdexqurMz3 Stories via @NatGeoMaps",http://abogadospuertorico.net/?edition_id=86cb1a90-6a7b-11e9-bcf0-0cc47a0d1605,abogadospuertorico.net,,4/29/2019 12:37,https://twitter.com/#!/joseabnolla/status/1122842307164868609,,,1122842307164868609,
joseabnolla,natgeomaps,,,,,,,,,,,,,Mentions,5/1/2019 12:37,"Puerto Rico, Business, Legal Daily is out! https://t.co/UeCJbXzDtT Stories via @ContentPilot @LMAwest @NatGeoMaps",http://abogadospuertorico.net/?edition_id=ee621210-6c0d-11e9-bcf0-0cc47a0d1605,abogadospuertorico.net,,5/1/2019 12:37,https://twitter.com/#!/joseabnolla/status/1123567223430352896,,,1123567223430352896,
rhiacoon,natgeomaps,,,,,,,,,,,,,Mentions,5/1/2019 14:09,RT @NatGeoMaps: Map of the Day: This simple sketch from 1910 superimposes three glaciers from the Swiss Alps onto the lower portion of Alas…,,,,5/1/2019 14:09,https://twitter.com/#!/rhiacoon/status/1123590259327897602,,,1123590259327897602,
emphaticno,emphaticno,,,,,,,,,,,,,Tweet,5/1/2019 14:51,Just beautiful https://t.co/bqgRmdigwX,https://twitter.com/NatGeoMaps/status/1123331303745761284,twitter.com,,5/1/2019 14:51,https://twitter.com/#!/emphaticno/status/1123600854622273536,,,1123600854622273536,
pauldassoria,osmcl,,,,,,,,,,,,,Mentions,5/1/2019 17:14,Nos gustan los #mapas #maps de #Chile ???? @openmapchile @osmCL https://t.co/fi971uPK5O,https://twitter.com/NatGeoMaps/status/1123331303745761284,twitter.com,mapas maps chile,5/1/2019 17:14,https://twitter.com/#!/pauldassoria/status/1123636786918334466,,,1123636786918334466,
pauldassoria,openmapchile,,,,,,,,,,,,,Mentions,5/1/2019 17:14,Nos gustan los #mapas #maps de #Chile ???? @openmapchile @osmCL https://t.co/fi971uPK5O,https://twitter.com/NatGeoMaps/status/1123331303745761284,twitter.com,mapas maps chile,5/1/2019 17:14,https://twitter.com/#!/pauldassoria/status/1123636786918334466,,,1123636786918334466,
markdesocio,natgeomaps,,,,,,,,,,,,,Mentions,5/1/2019 17:37,"RT @NatGeoMaps: Map of the Day: Chile spans 2,650 miles (4,265 kilometers) north to south. This significant latitude change is reflected in…",,,,5/1/2019 17:37,https://twitter.com/#!/markdesocio/status/1123642567420198912,,,1123642567420198912,
aficientifico,natgeomaps,,,,,,,,,,,,,Mentions,5/1/2019 19:16,"RT @NatGeoMaps: Map of the Day: Chile spans 2,650 miles (4,265 kilometers) north to south. This significant latitude change is reflected in…",,,,5/1/2019 19:16,https://twitter.com/#!/aficientifico/status/1123667417392132096,,,1123667417392132096,
camilowjulian,natgeomaps,,,,,,,,,,,,,Mentions,5/1/2019 21:09,RT @NatGeoMaps: The wildlife of Gorongosa National Park was decimated during Mozambique’s 1977-1992 civil war and the desperate years that…,,,,5/1/2019 21:09,https://twitter.com/#!/camilowjulian/status/1123695847584292873,,,1123695847584292873,
paliga_ignealis,natgeomaps,,,,,,,,,,,,,Mentions,5/1/2019 21:13,RT @NatGeoMaps: The wildlife of Gorongosa National Park was decimated during Mozambique’s 1977-1992 civil war and the desperate years that…,,,,5/1/2019 21:13,https://twitter.com/#!/paliga_ignealis/status/1123696923419074568,,,1123696923419074568,
carlosgis,natgeomaps,,,,,,,,,,,,,Mentions,5/1/2019 21:26,RT @NatGeoMaps: The wildlife of Gorongosa National Park was decimated during Mozambique’s 1977-1992 civil war and the desperate years that…,,,,5/1/2019 21:26,https://twitter.com/#!/carlosgis/status/1123700246339555328,,,1123700246339555328,
canadiangis,natgeomaps,,,,,,,,,,,,,Mentions,5/1/2019 14:48,"RT @NatGeoMaps: Map of the Day: Chile spans 2,650 miles (4,265 kilometers) north to south. This significant latitude change is reflected in…",,,,5/1/2019 14:48,https://twitter.com/#!/canadiangis/status/1123600127036403714,,,1123600127036403714,
jaimevaras,canadiangis,,,,,,,,,,,,,Mentions,5/1/2019 22:38,@NatGeoMaps @CanadianGIS Línea de costa chilena: 6.435 km.,,,,5/1/2019 22:38,https://twitter.com/#!/jaimevaras/status/1123718242101542913,,,1123718242101542913,1123331303745761284
jaimevaras,natgeomaps,,,,,,,,,,,,,Replies to,5/1/2019 22:38,@NatGeoMaps @CanadianGIS Línea de costa chilena: 6.435 km.,,,,5/1/2019 22:38,https://twitter.com/#!/jaimevaras/status/1123718242101542913,,,1123718242101542913,1123331303745761284
cdsherman1,natgeomaps,,,,,,,,,,,,,Mentions,5/2/2019 0:00,RT @NatGeoMaps: The wildlife of Gorongosa National Park was decimated during Mozambique’s 1977-1992 civil war and the desperate years that…,,,,5/2/2019 0:00,https://twitter.com/#!/cdsherman1/status/1123739057060753413,,,1123739057060753413,
fitzroyras,natgeomaps,,,,,,,,,,,,,Mentions,5/2/2019 0:09,"RT @NatGeoMaps: Map of the Day: Chile spans 2,650 miles (4,265 kilometers) north to south. This significant latitude change is reflected in…",,,,5/2/2019 0:09,https://twitter.com/#!/fitzroyras/status/1123741161707986944,,,1123741161707986944,
eric_falls,eric_falls,,,,,,,,,,,,,Tweet,5/2/2019 10:55,"#worldgeochat #natgeoedchat 

?????? https://t.co/UOpIoE0SRu",https://twitter.com/natgeomaps/status/1123369044353089537,twitter.com,worldgeochat natgeoedchat,5/2/2019 10:55,https://twitter.com/#!/eric_falls/status/1123903888040632320,,,1123903888040632320,
scistoop,natgeomaps,,,,,,,,,,,,,Mentions,5/2/2019 11:33,RT @NatGeoMaps: Map of the Day: This simple sketch from 1910 superimposes three glaciers from the Swiss Alps onto the lower portion of Alas…,,,,5/2/2019 11:33,https://twitter.com/#!/scistoop/status/1123913275224350720,,,1123913275224350720,
mostchuakui,natgeomaps,,,,,,,,,,,,,Mentions,5/2/2019 13:11,RT @NatGeoMaps: Some tree-planting programs can do more harm than good https://t.co/64RnxjmY6X https://t.co/j69aLGPEyn,https://on.natgeo.com/2DJtGfw,natgeo.com,,5/2/2019 13:11,https://twitter.com/#!/mostchuakui/status/1123938100307218432,,,1123938100307218432,
siradam_,natgeomaps,,,,,,,,,,,,,Mentions,5/2/2019 13:12,RT @NatGeoMaps: Some tree-planting programs can do more harm than good https://t.co/64RnxjmY6X https://t.co/j69aLGPEyn,https://on.natgeo.com/2DJtGfw,natgeo.com,,5/2/2019 13:12,https://twitter.com/#!/siradam_/status/1123938337214095362,,,1123938337214095362,
salamanderstenc,natgeomaps,,,,,,,,,,,,,Mentions,5/2/2019 13:27,RT @NatGeoMaps: Some tree-planting programs can do more harm than good https://t.co/64RnxjmY6X https://t.co/j69aLGPEyn,https://on.natgeo.com/2DJtGfw,natgeo.com,,5/2/2019 13:27,https://twitter.com/#!/salamanderstenc/status/1123942102130405378,,,1123942102130405378,
kevinsonline,natgeomaps,,,,,,,,,,,,,Mentions,5/2/2019 14:59,RT @NatGeoMaps: Some tree-planting programs can do more harm than good https://t.co/64RnxjmY6X https://t.co/j69aLGPEyn,https://on.natgeo.com/2DJtGfw,natgeo.com,,5/2/2019 14:59,https://twitter.com/#!/kevinsonline/status/1123965288444256257,,,1123965288444256257,
airion,natgeomaps,,,,,,,,,,,,,Mentions,5/2/2019 15:45,RT @NatGeoMaps: Some tree-planting programs can do more harm than good https://t.co/64RnxjmY6X https://t.co/j69aLGPEyn,https://on.natgeo.com/2DJtGfw,natgeo.com,,5/2/2019 15:45,https://twitter.com/#!/airion/status/1123976892158283777,,,1123976892158283777,
abdullah_nergiz,natgeomaps,,,,,,,,,,,,,Mentions,5/2/2019 16:34,RT @NatGeoMaps: Dar es Salaam is the second-fastest growing city worldwide. Its planners are struggling to keep up. https://t.co/4S8ORv4AyW…,https://on.natgeo.com/2GQvtAj,natgeo.com,,5/2/2019 16:34,https://twitter.com/#!/abdullah_nergiz/status/1123989035565879296,,,1123989035565879296,
manznana,manznana,,,,,,,,,,,,,Tweet,5/2/2019 16:36,"Sin el expolio, África nos daría de lo nuestro bien dado. https://t.co/iZrDUkMldA",https://twitter.com/NatGeoMaps/status/1123988047958302722,twitter.com,,5/2/2019 16:36,https://twitter.com/#!/manznana/status/1123989586680668160,,,1123989586680668160,
odilon72,natgeomaps,,,,,,,,,,,,,Mentions,5/2/2019 16:48,RT @NatGeoMaps: Dar es Salaam is the second-fastest growing city worldwide. Its planners are struggling to keep up. https://t.co/4S8ORv4AyW…,https://on.natgeo.com/2GQvtAj,natgeo.com,,5/2/2019 16:48,https://twitter.com/#!/odilon72/status/1123992760741240832,,,1123992760741240832,
centralaphg,natgeomaps,,,,,,,,,,,,,Mentions,5/2/2019 16:57,RT @NatGeoMaps: Dar es Salaam is the second-fastest growing city worldwide. Its planners are struggling to keep up. https://t.co/4S8ORv4AyW…,https://on.natgeo.com/2GQvtAj,natgeo.com,,5/2/2019 16:57,https://twitter.com/#!/centralaphg/status/1123995043063267330,,,1123995043063267330,
1dope_whiteboy,natgeomaps,,,,,,,,,,,,,Mentions,5/2/2019 17:19,RT @NatGeoMaps: Dar es Salaam is the second-fastest growing city worldwide. Its planners are struggling to keep up. https://t.co/4S8ORv4AyW…,https://on.natgeo.com/2GQvtAj,natgeo.com,,5/2/2019 17:19,https://twitter.com/#!/1dope_whiteboy/status/1124000517015969792,,,1124000517015969792,
kitrick22,natgeomaps,,,,,,,,,,,,,Mentions,5/2/2019 17:41,RT @NatGeoMaps: Dar es Salaam is the second-fastest growing city worldwide. Its planners are struggling to keep up. https://t.co/4S8ORv4AyW…,https://on.natgeo.com/2GQvtAj,natgeo.com,,5/2/2019 17:41,https://twitter.com/#!/kitrick22/status/1124005938854268934,,,1124005938854268934,
swejairo,natgeomaps,,,,,,,,,,,,,Mentions,5/2/2019 18:18,"RT @NatGeoMaps: Map of the Day: If we keep burning fossil fuels indefinitely, all the ice at the poles and on mountaintops will melt, raisi…",,,,5/2/2019 18:18,https://twitter.com/#!/swejairo/status/1124015200015933442,,,1124015200015933442,
toddehlers2,natgeomaps,,,,,,,,,,,,,Mentions,5/2/2019 18:50,"RT @NatGeoMaps: Map of the Day: Chile spans 2,650 miles (4,265 kilometers) north to south. This significant latitude change is reflected in…",,,,5/2/2019 18:50,https://twitter.com/#!/toddehlers2/status/1124023358046314498,,,1124023358046314498,
lnflational,natgeomaps,,,,,,,,,,,,,Mentions,5/2/2019 20:58,RT @NatGeoMaps: Some tree-planting programs can do more harm than good https://t.co/64RnxjmY6X https://t.co/j69aLGPEyn,https://on.natgeo.com/2DJtGfw,natgeo.com,,5/2/2019 20:58,https://twitter.com/#!/lnflational/status/1124055615654047744,,,1124055615654047744,
eecalynn,natgeomaps,,,,,,,,,,,,,Mentions,4/29/2019 18:15,"RT @NatGeoMaps: Map of the Day: Designed and painted by Christopher A. Klein, this colorful illustration from October 1987 depicts the pain…",,,,4/29/2019 18:15,https://twitter.com/#!/eecalynn/status/1122927288176103424,,,1122927288176103424,
eecalynn,natgeomaps,,,,,,,,,,,,,Mentions,5/2/2019 21:09,RT @NatGeoMaps: Some tree-planting programs can do more harm than good https://t.co/64RnxjmY6X https://t.co/j69aLGPEyn,https://on.natgeo.com/2DJtGfw,natgeo.com,,5/2/2019 21:09,https://twitter.com/#!/eecalynn/status/1124058366391783426,,,1124058366391783426,
jeditxikia,natgeomaps,,,,,,,,,,,,,Mentions,5/2/2019 21:17,RT @NatGeoMaps: Some tree-planting programs can do more harm than good https://t.co/64RnxjmY6X https://t.co/j69aLGPEyn,https://on.natgeo.com/2DJtGfw,natgeo.com,,5/2/2019 21:17,https://twitter.com/#!/jeditxikia/status/1124060487749185536,,,1124060487749185536,
macarthuranne,natgeomaps,,,,,,,,,,,,,Mentions,5/2/2019 21:28,RT @NatGeoMaps: Some tree-planting programs can do more harm than good https://t.co/64RnxjmY6X https://t.co/j69aLGPEyn,https://on.natgeo.com/2DJtGfw,natgeo.com,,5/2/2019 21:28,https://twitter.com/#!/macarthuranne/status/1124063025496039426,,,1124063025496039426,
henryfyfe,natgeomaps,,,,,,,,,,,,,Mentions,5/2/2019 22:25,RT @NatGeoMaps: The wildlife of Gorongosa National Park was decimated during Mozambique’s 1977-1992 civil war and the desperate years that…,,,,5/2/2019 22:25,https://twitter.com/#!/henryfyfe/status/1124077462701400066,,,1124077462701400066,
schapdel,natgeomaps,,,,,,,,,,,,,Mentions,5/2/2019 22:49,RT @NatGeoMaps: Some tree-planting programs can do more harm than good https://t.co/64RnxjmY6X https://t.co/j69aLGPEyn,https://on.natgeo.com/2DJtGfw,natgeo.com,,5/2/2019 22:49,https://twitter.com/#!/schapdel/status/1124083588759212038,,,1124083588759212038,
lallum35,natgeomaps,,,,,,,,,,,,,Mentions,4/29/2019 17:18,"RT @NatGeoMaps: Map of the Day: Published in 1941, this map locates Tres Zapotes, Cerro de las Mesas, and La Venta in southern Mexico. Thes…",,,,4/29/2019 17:18,https://twitter.com/#!/lallum35/status/1122912968616943616,,,1122912968616943616,
lallum35,natgeomaps,,,,,,,,,,,,,Mentions,5/2/2019 23:10,"RT @NatGeoMaps: Map of the Day: Ellesmere Island in northern Canada was a crossroads for the Arctic Small Tool, Thule, and Norse cultures.…",,,,5/2/2019 23:10,https://twitter.com/#!/lallum35/status/1124088759232999424,,,1124088759232999424,
annieutmsports,uttermostsports,,,,,,,,,,,,,Mentions,5/3/2019 0:41,"RT @uttermostsports: Help us take the gospel to these massive, and massively lost, populations!  Using the creative, popular, and successfu…",,,,5/3/2019 0:41,https://twitter.com/#!/annieutmsports/status/1124111579799277570,,,1124111579799277570,
juliannebg,natgeomaps,,,,,,,,,,,,,Mentions,5/3/2019 0:50,RT @NatGeoMaps: Some tree-planting programs can do more harm than good https://t.co/64RnxjmY6X https://t.co/j69aLGPEyn,https://on.natgeo.com/2DJtGfw,natgeo.com,,5/3/2019 0:50,https://twitter.com/#!/juliannebg/status/1124113950176612354,,,1124113950176612354,
piyawat,natgeomaps,,,,,,,,,,,,,Mentions,4/28/2019 7:17,RT @NatGeoMaps: See which countries fund the most scientific research https://t.co/Xl5iK6Mv3h https://t.co/oJbYr4K0SJ,https://on.natgeo.com/2UXOz12,natgeo.com,,4/28/2019 7:17,https://twitter.com/#!/piyawat/status/1122399405460508672,,,1122399405460508672,
piyawat,natgeomaps,,,,,,,,,,,,,Mentions,4/29/2019 4:34,RT @NatGeoMaps: Tokyo became a megacity by reinventing itself https://t.co/bXRKG6bqQe https://t.co/cZIN8uzsVw,https://on.natgeo.com/2vpNEr4,natgeo.com,,4/29/2019 4:34,https://twitter.com/#!/piyawat/status/1122720902381096962,,,1122720902381096962,
piyawat,natgeomaps,,,,,,,,,,,,,Mentions,4/29/2019 4:35,"RT @NatGeoMaps: Map of the Day: Designed and painted by Christopher A. Klein, this colorful illustration from October 1987 depicts the pain…",,,,4/29/2019 4:35,https://twitter.com/#!/piyawat/status/1122720998543876098,,,1122720998543876098,
piyawat,natgeomaps,,,,,,,,,,,,,Mentions,5/1/2019 2:46,"RT @NatGeoMaps: Map of the Day: Chile spans 2,650 miles (4,265 kilometers) north to south. This significant latitude change is reflected in…",,,,5/1/2019 2:46,https://twitter.com/#!/piyawat/status/1123418317492850691,,,1123418317492850691,
piyawat,natgeomaps,,,,,,,,,,,,,Mentions,5/1/2019 2:47,RT @NatGeoMaps: One of the snowiest places on Earth is losing its glaciers https://t.co/SOgHJeIxG2 https://t.co/C0X3dpzKxc,https://on.natgeo.com/2vA4JhX,natgeo.com,,5/1/2019 2:47,https://twitter.com/#!/piyawat/status/1123418580014338048,,,1123418580014338048,
piyawat,natgeomaps,,,,,,,,,,,,,Mentions,5/2/2019 7:44,RT @NatGeoMaps: The wildlife of Gorongosa National Park was decimated during Mozambique’s 1977-1992 civil war and the desperate years that…,,,,5/2/2019 7:44,https://twitter.com/#!/piyawat/status/1123855647857172480,,,1123855647857172480,
piyawat,natgeomaps,,,,,,,,,,,,,Mentions,5/3/2019 1:30,"RT @NatGeoMaps: Map of the Day: Ellesmere Island in northern Canada was a crossroads for the Arctic Small Tool, Thule, and Norse cultures.…",,,,5/3/2019 1:30,https://twitter.com/#!/piyawat/status/1124123955739029504,,,1124123955739029504,
piyawat,natgeomaps,,,,,,,,,,,,,Mentions,5/3/2019 1:30,RT @NatGeoMaps: Dar es Salaam is the second-fastest growing city worldwide. Its planners are struggling to keep up. https://t.co/4S8ORv4AyW…,https://on.natgeo.com/2GQvtAj,natgeo.com,,5/3/2019 1:30,https://twitter.com/#!/piyawat/status/1124124012261494784,,,1124124012261494784,
jaimeottawa,natgeomaps,,,,,,,,,,,,,Mentions,5/3/2019 3:09,RT @NatGeoMaps: The wildlife of Gorongosa National Park was decimated during Mozambique’s 1977-1992 civil war and the desperate years that…,,,,5/3/2019 3:09,https://twitter.com/#!/jaimeottawa/status/1124148920358035458,,,1124148920358035458,
rachelksmedley,natgeomaps,,,,,,,,,,,,,Mentions,5/3/2019 5:56,"RT @NatGeoMaps: Map of the Day: Chile spans 2,650 miles (4,265 kilometers) north to south. This significant latitude change is reflected in…",,,,5/3/2019 5:56,https://twitter.com/#!/rachelksmedley/status/1124191085138460672,,,1124191085138460672,
nashigeo,natgeomaps,,,,,,,,,,,,,Mentions,4/28/2019 6:13,RT @NatGeoMaps: See which countries fund the most scientific research https://t.co/Xl5iK6Mv3h https://t.co/oJbYr4K0SJ,https://on.natgeo.com/2UXOz12,natgeo.com,,4/28/2019 6:13,https://twitter.com/#!/nashigeo/status/1122383239694303233,,,1122383239694303233,
nashigeo,natgeomaps,,,,,,,,,,,,,Mentions,5/3/2019 9:43,RT @NatGeoMaps: Dar es Salaam is the second-fastest growing city worldwide. Its planners are struggling to keep up. https://t.co/4S8ORv4AyW…,https://on.natgeo.com/2GQvtAj,natgeo.com,,5/3/2019 9:43,https://twitter.com/#!/nashigeo/status/1124248115219816449,,,1124248115219816449,
hiro_du27v,natgeomaps,,,,,,,,,,,,,Mentions,5/3/2019 16:38,RT @NatGeoMaps: Tokyo became a megacity by reinventing itself https://t.co/bXRKG6bqQe https://t.co/cZIN8uzsVw,https://on.natgeo.com/2vpNEr4,natgeo.com,,5/3/2019 16:38,https://twitter.com/#!/hiro_du27v/status/1124352560855314432,,,1124352560855314432,
builtwrightco,natgeomaps,,,,,,,,,,,,,Mentions,5/3/2019 19:06,"RT @NatGeoMaps: Map of the Day: The second smallest state in the U.S., Delaware has the least number of counties: three. This map from 1935…",,,,5/3/2019 19:06,https://twitter.com/#!/builtwrightco/status/1124389769205694467,,,1124389769205694467,
nyplmaps,natgeomaps,,,,,,,,,,,,,Mentions,5/3/2019 19:51,"RT @NatGeoMaps: Map of the Day: The second smallest state in the U.S., Delaware has the least number of counties: three. This map from 1935…",,,,5/3/2019 19:51,https://twitter.com/#!/nyplmaps/status/1124401131860496384,,,1124401131860496384,
jsamperiz1,natgeomaps,,,,,,,,,,,,,Mentions,5/3/2019 20:33,"RT @NatGeoMaps: Map of the Day: Ellesmere Island in northern Canada was a crossroads for the Arctic Small Tool, Thule, and Norse cultures.…",,,,5/3/2019 20:33,https://twitter.com/#!/jsamperiz1/status/1124411765968789505,,,1124411765968789505,
juanjosegalvez,natgeomaps,,,,,,,,,,,,,Mentions,5/3/2019 20:40,RT @NatGeoMaps: Silicon Valley has grown from a techie outpost around Palo Alto to a sprawling Bay Area region of high-tech industries and…,,,,5/3/2019 20:40,https://twitter.com/#!/juanjosegalvez/status/1124413473851617281,,,1124413473851617281,
